Company,Model,Display Height,Display Width,Display Size,Display Quality,Display Type,Processor Name,Processor Generation,Memory,Ram,Videocard,Videocard Storage,Illuminated keyboard,Price,Website index
Lenovo,Legion 5 15ARH7H,1440,2560,15.6,QHD,,Ryzen 7,6800H,512,16,GeForce RTX3060,6,1,520000,3
Lenovo,IP1 15AMN7,1080,1920,15.6,FullHD,,Ryzen 3,7320U,256,8,Radeon Graphics,,0,175000,3
HP,,1080,1920,15.6,FullHD,,Ryzen 5,7520U,256,8,Radeon Graphics,,0,227000,3
Dell,Precision 5770,1080,1920,17.3,FullHD,,Core i7,12800H,512,32,Intel Iris Plus Graphics,,1,855000,3
Lenovo,IP Slim 3 15ABR8,1080,1920,15.6,FullHD,,Ryzen 7,7730U,1,16,Radeon Graphics,,0,301000,3
HP,Omen,1080,1920,15.6,FullHD,,Ryzen 7,6800H,512,16,GeForce RTX3060,6,0,579000,3
Dell,Alienware X14 R1,1080,1920,14.0,FullHD,,Core i7,12700H,512,16,GeForce RTX3060,6,0,737000,3
Dell,Latitude 5411,1080,1920,14.0,FullHD,,Core i7,10850H,512,32,Intel UHD Graphics,,0,338000,3
HP,Pavilion,1080,1920,15.6,FullHD,,Ryzen 7,5700U,512,16,Radeon Graphics,,0,278000,3
HP,,768,1366,15.6,HD,,Ryzen 7,5700U,512,16,Radeon Graphics,,0,274000,3
HP,,768,1366,15.6,HD,,Core i5,1135G7,256,8,Intel Iris Plus Graphics,,0,223000,3
HP,,768,1366,15.6,HD,,Core i7,1165G7,256,8,Intel Iris Plus Graphics,,0,264000,3
Asus,Creator,1800,2880,15.6,,,Core i9,13900H,1,16,GeForce RTX3050,4,0,625000,3
Asus,VivoBook Pro 16X,1080,1920,16.0,FullHD,,Core i7,12650H,1,32,GeForce RTX3060,6,0,625000,3
HP,Victus,1080,1920,15.6,FullHD,,Core i5,13420H,512,8,GeForce RTX3050,4,1,416000,3
