Company,Model,Display Height,Display Width,Display Size,Display Quality,Display Type,Processor Name,Processor Generation,Memory,Ram,Videocard,Videocard Storage,Illuminated keyboard,Price,Website index
Lenovo,Legion 5 15ARH7H,1440,2560,15.6,QHD,,Ryzen 7,6800H,512,16,GeForce RTX3060,6,1,533600,4
Lenovo,IP1 15AMN7,1080,1920,15.6,FullHD,,Ryzen 3,7320U,256,8,Radeon Graphics,,0,175800,4
HP,,1080,1920,15.6,FullHD,,Ryzen 5,7520U,256,8,Radeon Graphics,,0,230300,4
Dell,Precision 5770,1080,1920,17.3,FullHD,,Core i7,12800H,512,32,Intel Iris Plus Graphics,,1,794800,4
Lenovo,IP Slim 3 15ABR8,1080,1920,15.6,FullHD,,Ryzen 7,7730U,1,16,Radeon Graphics,,0,298900,4
HP,Omen,1080,1920,15.6,FullHD,,Ryzen 7,6800H,512,16,GeForce RTX3060,6,0,616200,4
Dell,Alienware X14 R1,1080,1920,14.0,FullHD,,Core i7,12700H,512,16,GeForce RTX3060,6,0,663300,4
Dell,Latitude 5411,1080,1920,14.0,FullHD,,Core i7,10850H,512,32,Intel UHD Graphics,,0,324700,4
HP,Pavilion,1080,1920,15.6,FullHD,,Ryzen 7,5700U,512,16,Radeon Graphics,,0,288200,4
HP,,768,1366,15.6,HD,,Ryzen 7,5700U,512,16,Radeon Graphics,,0,283100,4
HP,,768,1366,15.6,HD,,Core i5,1135G7,256,8,Intel Iris Plus Graphics,,0,207600,4
HP,,768,1366,15.6,HD,,Core i7,1165G7,256,8,Intel Iris Plus Graphics,,0,278300,4
Asus,Creator,1800,2880,15.6,,,Core i9,13900H,1,16,GeForce RTX3050,4,0,611900,4
Asus,VivoBook Pro 16X,1080,1920,16.0,FullHD,,Core i7,12650H,1,32,GeForce RTX3060,6,0,595200,4
HP,Victus,1080,1920,15.6,FullHD,,Core i5,13420H,512,8,GeForce RTX3050,4,1,399700,4
Asus,ZenBook,2160,3456,14.0,UHD+,,Core i5,1240P,512,16,Intel Iris Plus Graphics,,1,466200,4
HP,ZBook Studio 16 Inch G9,2160,3456,16.0,UHD+,,Core i7,12800H,1,32,GeForce RTX A1000,4,1,810400,4
Dell,Inspiron 7620,1920,3072,16.0,,,Core i7,12700H,1,32,GeForce RTX3060,6,0,573300,4
Lenovo,IP Slim 3 15IRU8,1080,1920,15.6,FullHD,,Core i5,1335U,256,8,Intel Iris Plus Graphics,,0,221700,4
HP,Omen,1080,1920,16.0,FullHD,,Ryzen 9,5800HX,1,16,Radeon RX6600M,8,1,537300,4
Dell,Latitude 7440,1200,1920,14.0,FHD+,,Core i5,1340P,256,16,Intel iris Plus Graphics,,1,344400,4
Acer,Nitro 5,1440,2560,15.6,QHD,,Ryzen 7,6800H,1,16,GeForce RTX3070Ti,8,1,653400,4
