Company,Model,Display Height,Display Width,Display Size,Display Quality,Display Type,Processor Name,Processor Generation,Memory,Ram,Videocard,Videocard Storage,Illuminated keyboard,Price,Website index
Acer,Aspire,1080,1920,15.6,FullHD,,Core i3,1215U,512,8,Intel Iris Plus Graphics,,0,195000,1
Acer,Aspire,900,1600,17.3,HD+,,Intel,N6000,512,20,Intel Iris Plus Graphics,,0,255000,1
Acer,Aspire,1080,1920,15.6,FullHD,,Core i5,1235U,1024,8,GeForceMX550,2,0,277000,1
Acer,Aspire,1080,1920,15.6,FullHD,,Ryzen 7,5700U,512,8,RadeonRX640,2,0,277000,1
Acer,Swift 3,1080,1920,14.0,FullHD,,Core i5,1135G7,512,8,Iris Xe Graphics,,1,288000,1
Acer,Aspire 3,1080,1920,15.6,FullHD,,Core i7,1255U,256,8,Intel Iris Plus Graphics,,0,299000,1
Acer,Swift 3,1504,2256,13.3,QHD,,Core i5,1135G7,512,8,GeforceMX350,2,1,301000,1
Acer,Swift 3,1080,1920,14.0,FullHD,,Core i7,1165G7,256,8,Iris Xe Graphics,,1,338000,1
Acer,Swift 3,1080,1920,14.0,FullHD,,Core i7,1165G7,512,8,Iris Xe Graphics,,1,347000,1
Acer,Predator Triton 300,1080,1920,15.6,FullHD,,Core i7,11800H,512,16,GeForceRTX3060,6,1,599000,1
Acer,Predator Helios,1080,1920,15.6,FullHD,,Core i9,11900H,512,16,GeForceRTX3060,6,1,648000,1
MacBook,Air MGN63,1600,2560,13.3,QHD,,Apple M1,Chip,256,8,,,1,365000,1
MacBook,Air MGN93,1600,2560,13.3,QHD,,Apple M1,Chip,256,8,,,0,365000,1
MacBook,Air MGND3,1600,2560,13.3,QHD,,Apple M1,Chip,256,8,,,1,365000,1
MacBook,Air MLXW3,1600,2560,13.6,QHD,,Apple M2,Chip,256,8,,,1,475000,1
MacBook,Air MLXY3,1600,2560,13.6,QHD,,Apple M2,Chip,256,8,,,1,475000,1
MacBook,Air MLY13,1600,2560,13.6,QHD,,Apple M2,Chip,256,8,,,1,475000,1
MacBook,Air MLY33,1600,2560,13.6,QHD,,Apple M2,Chip,256,8,,,1,475000,1
MacBook,Pro MYD82,1600,2560,13.3,QHD,,Apple M1,Chip,256,8,,,1,497000,1
MacBook,Pro MYDA2,1600,2560,13.3,QHD,,Apple M1,Chip,256,8,,,1,497000,1
MacBook,Pro,1600,2560,13.3,QHD,,Apple M2,Chip,256,8,,,1,499000,1
MacBook,Pro,1600,2560,13.3,QHD,,Apple M2,Chip,256,8,,,1,499000,1
MacBook,Air MGNA3,1440,2560,13.3,QHD,,Apple M1,Chip,512,8,,,1,569000,1
MacBook,Air MGN73,1440,2560,13.3,QHD,,Apple M1,Chip,512,8,,,1,569000,1
MacBook,Air MGNE3,1440,2560,13.3,QHD,,Apple M1,Chip,512,8,,,1,569000,1
MacBook,Air MLY43,1600,2560,13.6,QHD,,Apple M2,Chip,512,8,,,1,585000,1
MacBook,Pro MYD92,1600,2560,13.3,QHD,,Apple M1,Chip,512,8,,,1,599000,1
MacBook,Pro MYDC2,1600,2560,13.3,QHD,,Apple M1,Chip,512,8,,,1,599000,1
MacBook,Air 15 MQKP3,1864,2880,15.3,,,Apple M2,Chip,256,8,,,1,599000,1
MacBook,Air 15 MQKW3,1864,2880,15.3,,,Apple M2,Chip,256,8,,,1,599000,1
MacBook,Air 15 MQKR3,1864,2880,15.3,,,Apple M2,Chip,256,8,,,1,599000,1
MacBook,Air 15 MQKU3,1864,2880,15.3,,,Apple M2,Chip,256,8,,,1,599000,1
MacBook,Pro 14 MKGP3,1964,3024,14.2,,,Apple M1,Pro,512,16,,,1,719000,1
MacBook,Pro MPHH3,1964,3024,14.2,,,Apple M2,Pro,512,16,,,1,799000,1
MacBook,Pro MPHE3,1964,3024,14.2,,,Apple M2,Pro,512,16,,,1,799000,1
MacBook,Pro 16 MK183,2234,3456,16.2,,,Apple M1,Pro,512,16,,,1,825000,1
MacBook,Pro 16 MK1E3,2234,3456,16.2,,,Apple M1,Pro,512,16,,,1,825000,1
MacBook,Pro 14 MKGQ3,1964,3024,14.2,,,Apple M1,Pro,1024,16,,,1,875000,1
MacBook,Pro 16 MK193,2234,3456,16.2,,,Apple M1,Pro,1024,16,,,1,905000,1
MacBook,Pro 16 MK1F3,2234,3456,16.2,,,Apple M1,Pro,1024,16,,,1,905000,1
MacBook,Pro MPHJ3,1964,3024,14.2,,,Apple M2,Pro,1024,16,,,1,995000,1
Asus,VivoBook,1080,1920,15.6,FullHD,,Core i3,1115G4,256,8,Intel Iris Plus Graphics,,0,199000,1
Asus,VivoBook,1080,1920,15.6,FullHD,,Core i3,1115G4,256,8,Intel Iris Plus Graphics,,0,199000,1
Asus,VivoBook,1080,1920,15.6,FullHD,,Core i3,1215U,256,8,Intel Iris Plus Graphics,,0,209000,1
Asus,VivoBook,1080,1920,15.6,FullHD,,Core i5,1135G7,512,8,Intel Iris Plus Graphics,,0,235000,1
Asus,VivoBook,900,1600,17.3,HD+,,Core i5,1035G1,1024,12,Intel UHD Graphics,,0,245000,1
Asus,VivoBook,1080,1920,15.6,FullHD,,Core i5,1135G7,512,12,Intel Iris Plus Graphics,,0,245000,1
Asus,VivoBook,1080,1920,17.3,FullHD,,Core i3,1220P,512,8,Intel Iris Plus Graphics,,1,245000,1
Asus,VivoBook,1200,1920,15.6,FHD+,,Ryzen 5,7530U,512,8,Radeon Graphics,,1,249000,1
Asus,VivoBook R564JA-UH51T,1080,1920,15.6,FullHD,,Core i5,1035G1,256,8,Intel UHD Graphics,,0,255000,1
Asus,VivoBook,900,1600,17.3,HD+,,Core i5,1035G1,256,12,Intel UHD Graphics,,0,260000,1
Asus,VivoBook,1080,1920,15.6,FullHD,,Ryzen 5,4600H,512,8,Radeon Graphics,,0,277000,1
Asus,VivoBook,1080,1920,14.0,FullHD,,Ryzen 7,4800H,512,16,Radeon Graphics,,1,277000,1
Asus,VivoBook,1200,1920,15.6,FHD+,,Core i5,12500H,512,16,Intel Iris Plus Graphics,,1,292000,1
Asus,VivoBook,1200,1920,15.6,FHD+,,Ryzen 7,5800H,1024,16,Radeon Graphics,,1,301000,1
Asus,VivoBook Pro 15,1080,1920,15.6,FullHD,,Ryzen 5,5600H,512,8,GeForceGTX1650,4,1,305000,1
Asus,VivoBook,1080,1920,15.6,FullHD,,Core i7,1165G7,512,8,GeForceMX330,2,0,342000,1
Asus,TUF Gaming,1080,1920,15.6,FullHD,,Ryzen 5,4600H,512,8,GeForceGTX1650,4,1,342000,1
Asus,ZenBook,1800,2880,14.0,,,Core i5,1240P,256,8,Intel Iris Plus Graphics,,1,345000,1
Asus,VivoBook,1080,1920,17.3,FullHD,,Core i5,12500H,512,8,Intel Iris Plus Graphics,,1,345000,1
Asus,VivoBook,1080,1920,14.0,FullHD,,Core i7,1165G7,512,8,Intel Iris Plus Graphics,,1,370000,1
Asus,VivoBook K3400P,1800,2880,14.0,,,Core i7,11370H,512,8,GeForceGTX1650,4,1,394000,1
Asus,ZenBook,1080,1920,14.0,FullHD,,Ryzen 7,5800H,512,16,Radeon Graphics,,1,413000,1
