Company,Model,Display Height,Display Width,Display Size,Display Quality,Display Type,Processor Name,Processor Generation,Memory,Ram,Videocard,Videocard Storage,Illuminated keyboard,Price,Website index
AQUARIUS,CMP NS685U R11,1080,1920,15.6,,IPS,Intel Core i5,10210U,256,8,Intel UHD Graphics,,,931000,2
AQUARIUS,CMP NS685U R11,1080,1920,15.6,,IPS,Intel Core i5,10210U,512,16,Intel UHD Graphics,,,960300,2
INFINIX,INBOOK X2,1080,1920,14.0,,IPS,Intel Core i7,1065G7,512,8,Intel Iris Plus graphics,,,414600,2
INFINIX,Inbook X2 Plus XL25,1080,1920,15.6,,IPS,Intel Core i5,1155G7,512,8,Intel Iris Xe Graphics,,,336200,2
INFINIX,Inbook X2 Plus XL25,1080,1920,15.6,,IPS,Intel Core i5,1155G7,512,8,Intel Iris Xe Graphics,,,336000,2
CHUWI,HEROBOOK PRO,1080,1920,14.1,,IPS,Intel Celeron,N4020,256,8,Intel UHD Graphics 600,,,159500,2
CHUWI,COREBOOK XPRO,1080,1920,15.6,,IPS,Intel Core i5,10210U,512,8,Intel UHD Graphics,,,287900,2
CHUWI,COREBOOK X 14,1440,2160,14.0,,IPS,Intel Core i3,10110U,512,8,Intel UHD Graphics,,,260800,2
CHUWI,Corebook 14,1200,1920,14.0,,IPS,Intel Core i5,1035G4,512,8,Intel Iris Plus Graphics,,,242700,2
CHUWI,Corebook Xpro,1080,1920,15.6,,IPS,Intel Core i5,1235U,512,8,Intel Iris Xe Graphics,,,333500,2
CHUWI,Corebook X 14,1440,2560,14.0,,IPS,Intel Core i3,1215U,512,8,Intel UHD Graphics,,,257500,2
CHUWI,GemiBook Xpro,1080,1920,14.1,,IPS,Intel Celeron,N100,256,8,Intel UHD Graphics,,,181200,2
RIKOR,,1080,1920,15.6,,IPS,Intel Core i5,8259U,256,8,Intel Iris Plus graphics,,,383000,2
RIKOR,,1080,1920,15.6,,IPS,AMD Ryzen 3,5425U,256,8,AMD Radeon Vega 6,,,403500,2
HYRICAN,,1080,1920,14.0,,,Intel Core i5,10210U,480,8,Intel UHD Graphics,,,290600,2
TECNO,MEGABOOK T1,,,6.81,,IPS,Intel Core i3,1005G1,,,,,,256500,2
TECNO,MEGABOOK T1,,,6.81,,IPS,Intel Core i3,1005G1,,,,,,268800,2
TECNO,MegaBook T1,1080,1920,15.6,,IPS,Intel Core i3,1005G1,256,12,Intel UHD Graphics,,,284700,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 9,5900HX,1024,16,AMD Radeon,,,506200,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 7,5800U,512,16,AMD Radeon,,,351600,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 7,5800H,512,16,AMD Radeon,,,362500,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 7,5800U,256,8,AMD Radeon,,,303700,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 7,5800H,1024,16,AMD Radeon,,,435000,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 5,5600U,512,8,AMD Radeon,,,326300,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 5,5600U,512,8,AMD Radeon,,,290000,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 5,5600U,512,16,AMD Radeon,,,348000,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 3,5400U,256,8,AMD Radeon,,,270000,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 9,5900HX,1024,16,AMD Radeon,,,492700,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 3,5400U,256,8,AMD Radeon,,,268300,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 7,5800H,512,16,AMD Radeon,,,427800,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 7,5800H,512,8,AMD Radeon,,,355300,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 5,5600U,256,8,AMD Radeon,,,303700,2
ROMBICA,MyBook Eclipse,1080,1920,15.6,,IPS,Intel Core i5,10210U,256,8,Intel UHD Graphics,,,243000,2
ROMBICA,MyBook Eclipse,1080,1920,15.6,,IPS,Intel Core i5,10210U,512,8,Intel UHD Graphics,,,253700,2
ROMBICA,MyBook Eclipse,1080,1920,15.6,,IPS,Intel Core i5,10210U,512,16,Intel UHD Graphics,,,268300,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 7,5800U,512,8,AMD Radeon Graphics,,,337500,2
HONOR,MagicBook X 14,1080,1920,14.0,,IPS,Intel Core i5,12450H,512,16,Intel UHD Graphics,,,506200,2
HONOR,MagicBook X 14,1200,1920,14.0,,IPS,Intel Core i5,12450H,512,8,Intel UHD Graphics,,,442300,2
HONOR,MagicBook X16,1200,1920,16.0,,IPS,Intel Core i5,12450H,512,8,Intel UHD Graphics,,,472500,2
HONOR,MagicBook 14,1080,1920,14.0,,IPS,AMD Ryzen 5,5500U,512,8,AMD Radeon Graphics,,,333500,2
REALME,RMNB1002,1440,2560,14.0,,IPS,Intel Core i5,1135G7,512,8,Iris Xe Graphics,,,319000,2
REALME,CloudPro002,1600,2560,14.0,,IPS,Intel Core i5,11320H,512,16,Iris Xe Graphics,,,531300,2
REALME,Book,1440,2160,14.0,,IPS,Intel Core i5,1135G7,512,8,Intel Iris Xe Graphics,,,369000,2
REALME,Book Prime,1440,2160,14.0,,IPS,Intel Core i5,11320H,512,16,Intel Iris Xe Graphics,,,409000,2
TCL,TCL Book 14 Go B220G,768,1366,14.0,,TN,Qualcomm Snapdragon,SC7180,128,4,Qualcomm Adreno 618,,,224800,2
TCL,Book 14 GO B220G,768,1366,14.0,,TN,Qualcomm Snapdragon,SC7180,128,4,Qualcomm Adreno 618,,,261800,2
IRU,КАЛИБР 15Y,1080,1920,15.6,,IPS,Intel Core i7,8550U,240,8,Intel UHD Graphics 620,,,333600,2
IRU,КАЛИБР 15Y,1080,1920,15.6,,IPS,Intel Core i7,8550U,256,8,Intel UHD Graphics 620,,,410600,2
IRU,КАЛИБР 15Y,1080,1920,15.6,,IPS,Intel Core i7,8550U,480,16,Intel UHD Graphics 620,,,343400,2
IRU,15Y,1200,1920,15.6,,IPS,Intel Core i7,8565U,480,16,Intel UHD Graphics,,,388300,2
IRU,Калибр 15CLG1,1080,1920,15.6,,IPS,Intel Core i3,10110U,1024,8,Intel UHD Graphics,,,250500,2
IRU,Калибр 14TLH,1080,1920,14.1,,IPS,Intel Core i3,1115G4,256,8,Intel Iris Xe Graphics,,,232800,2
IRU,Калибр 14TLH,1080,1920,14.1,,IPS,Intel Core i3,1115G4,1024,8,Intel Iris Xe Graphics,,,256500,2
IRU,Калибр 15РH,1080,1920,15.6,,IPS,AMD Ryzen 5,3500U,256,8,AMD Radeon Vega 8,,,257900,2
IRU,Калибр 15GLG,1080,1920,15.6,,IPS,Intel Celeron,N4020,1024,4,Intel UHD Graphics 600,,,183400,2
IRU,Калибр 15ALC,1080,1920,15.6,,IPS,Intel Core i5,12500H,512,16,NVIDIA GeForce GTX 1650,4,,539000,2
IRU,Калибр 14TLH,1080,1920,14.1,,IPS,Intel Core i5,1135G7,1024,8,Intel Iris Xe Graphics,,,301400,2
IRU,Калибр 14TLH,1080,1920,14.1,,IPS,Intel Core i5,1135G7,256,8,Intel Iris Xe Graphics,,,276500,2
IRU,Калибр 17TLI,1080,1920,17.3,,IPS,Intel Core i5,1135G7,256,8,Intel Iris Xe Graphics,,,471600,2
IRU,Калибр 17TLI,1080,1920,17.3,,IPS,Intel Core i5,1135G7,512,16,Intel Iris Xe Graphics,,,487400,2
IRU,Калибр 15TLI,1080,1920,15.6,,IPS,Intel Core i5,1135G7,512,8,Intel Iris Xe Graphics,,,331200,2
IRU,Калибр 15TLI,1080,1920,15.6,,IPS,Intel Core i5,1135G7,256,8,Intel Iris Xe Graphics,,,327300,2
IRU,Калибр 15TLI,1080,1920,15.6,,IPS,Intel Core i5,1135G7,256,8,Intel Iris Xe Graphics,,,301400,2
IRU,Калибр 15TLI,1080,1920,15.6,,IPS,Intel Core i5,1135G7,256,8,Intel Iris Xe Graphics,,,365800,2
IRU,Калибр 15CLG2,1080,1920,15.6,,IPS,Intel Core i5,8259U,256,8,Intel Iris Plus graphics 655,,,308100,2
IRU,Калибр 15PH,1080,1920,15.6,,IPS,AMD Ryzen 5,3500U,512,8,AMD Radeon Vega 8,,,261300,2
IRU,Калибр 17ALC,1080,1920,17.3,,IPS,Intel Core i5,12500H,512,16,NVIDIA GeForce RTX 3060,6,,802200,2
IRU,Калибр 15TLI,1080,1920,15.6,,IPS,Intel Core i3,1115G4,256,8,Intel Iris Xe Graphics,,,265000,2
IRU,Калибр 15TLI,1080,1920,15.6,,IPS,Intel Core i3,1115G4,256,8,Intel UHD Graphics,,,266800,2
IRU,Калибр 15TLG,1080,1920,15.6,,TFT,Intel Core i5,1155G7,512,16,Intel UHD Graphics G7,,,303900,2
IRU,Калибр 15TLG,1080,1920,15.6,,TFT,Intel Core i5,1155G7,256,8,Intel UHD Graphics,,,272900,2
IRU,Калибр 15TLG,1080,1920,15.6,,TFT,Intel Core i3,1115G4,256,8,Intel UHD Graphics G4,,,234000,2
IRU,Калибр 15ALC,1080,1920,15.6,,IPS,Intel Core i5,12500H,512,16,NVIDIA GeForce RTX 3060,6,,718900,2
IRU,Калибр 15ALC,1080,1920,15.6,,IPS,Intel Core i5,12500H,512,16,NVIDIA GeForce RTX 3050,4,,616200,2
HIPER,Workbook MTL1585W,1080,1920,15.6,,IPS,Intel Core i3,1115G4,512,8,Intel UHD Graphics,,,309800,2
HIPER,DZEN MTL1569,1080,1920,15.6,,IPS,Intel Core i5,1135G7,512,16,NVIDIA GeForce MX450,2,,528600,2
HIPER,DZEN MTL1569,1080,1920,15.6,,IPS,Intel Core i3,1115G4,256,8,Intel UHD Graphics,,,325400,2
HIPER,DZEN MTL1569,1080,1920,15.6,,IPS,Intel Core i3,1115G4,256,8,Intel UHD Graphics,,,341100,2
HIPER,DZEN MTL1569,1080,1920,15.6,,IPS,Intel Core i5,1135G7,512,16,Iris Xe Graphics,,,461000,2
HIPER,EXPERTBOOK MTL1577,1080,1920,15.6,,IPS,AMD Ryzen 5,5600U,256,8,AMD Radeon,,,420000,2
HIPER,EXPERTBOOK MTL1577,1080,1920,15.6,,IPS,AMD Ryzen 7,5800U,256,8,AMD Radeon,,,442200,2
HIPER,EXPERTBOOK MTL1577,1080,1920,15.6,,IPS,AMD Ryzen 7,5800U,256,8,AMD Radeon,,,472100,2
HIPER,EXPERTBOOK MTL1577,1080,1920,15.6,,IPS,AMD Ryzen 5,5600U,512,16,AMD Radeon,,,476400,2
HIPER,DZEN MTL1569,1080,1920,15.6,,IPS,Intel Core i5,1135G7,256,8,Iris Xe Graphics,,,437600,2
HIPER,DZEN MTL1569,1080,1920,15.6,,IPS,Intel Core i5,1135G7,256,8,Iris Xe Graphics,,,418700,2
HIPER,DZEN MTL1569,1080,1920,15.6,,IPS,Intel Core i7,1165G7,512,16,NVIDIA GeForce MX450,2,,546800,2
HIPER,EXPERTBOOK MTL1577,1080,1920,15.6,,IPS,AMD Ryzen 5,5600U,256,8,AMD Radeon,,,436900,2
HIPER,WORKBOOK N1567RH,1080,1920,15.6,,IPS,Intel Core i3,10110U,256,8,Intel UHD Graphics,,,269100,2
HIPER,DZEN MTL1569,1080,1920,15.6,,IPS,Intel Core i5,1135G7,512,16,NVIDIA GeForce MX450,2,,529300,2
