Company,Model,Display Height,Display Width,Display Size,Display Quality,Display Type,Processor Name,Processor Generation,Memory,Ram,Videocard,Videocard Storage,Illuminated keyboard,Price,Website index
AQUARIUS,CMP NS685U R11,1080,1920,15.6,,IPS,Intel Core i5,10210U,256,8,Intel UHD Graphics,,,964400,2
AQUARIUS,CMP NS685U R11,1080,1920,15.6,,IPS,Intel Core i5,10210U,512,16,Intel UHD Graphics,,,911600,2
INFINIX,Inbook X2 Plus XL25,1080,1920,15.6,,IPS,Intel Core i3,1115G4,256,8,Intel UHD Graphics,,,295400,2
INFINIX,Inbook X2 Plus XL25,1080,1920,15.6,,IPS,Intel Core i5,1155G7,512,8,Intel Iris Xe Graphics,,,,2
INFINIX,Inbook X2 Plus XL25,1080,1920,15.6,,IPS,Intel Core i5,1155G7,512,8,Intel Iris Xe Graphics,,,,2
CHUWI,HEROBOOK PRO,1080,1920,14.1,,IPS,Intel Celeron,N4020,256,8,Intel UHD Graphics 600,,,135700,2
CHUWI,COREBOOK XPRO,1080,1920,15.6,,IPS,Intel Core i5,10210U,512,8,Intel UHD Graphics,,,287900,2
CHUWI,COREBOOK XPRO,1080,1920,15.6,,IPS,Intel Core i5,10210U,512,16,Intel UHD Graphics,,,295300,2
CHUWI,COREBOOK X 14,1440,2160,14.0,,IPS,Intel Core i3,10110U,512,8,Intel UHD Graphics,,,260800,2
CHUWI,COREBOOK X 14,1440,2160,14.0,,IPS,Intel Core i3,10110U,1024,16,Intel UHD Graphics,,,311800,2
CHUWI,Corebook 14,1200,1920,14.0,,IPS,Intel Core i5,1035G4,512,8,Intel Iris Plus Graphics,,,242700,2
CHUWI,Corebook Xpro,1080,1920,15.6,,IPS,Intel Core i3,1215U,512,8,Intel UHD Graphics,,,324100,2
CHUWI,Corebook Xpro,1080,1920,15.6,,IPS,Intel Core i3,1215U,512,16,Intel UHD Graphics,,,,2
CHUWI,Corebook X 14,1440,2560,14.0,,IPS,Intel Core i3,1215U,512,8,Intel UHD Graphics,,,,2
CHUWI,GemiBook Xpro,1080,1920,14.1,,IPS,Intel Celeron,N100,256,8,Intel UHD Graphics,,,,2
RIKOR,,1080,1920,15.6,,IPS,Intel Core i5,8259U,256,8,Intel Iris Plus graphics,,,383000,2
RIKOR,,1080,1920,15.6,,IPS,AMD Ryzen 3,5425U,256,8,AMD Radeon Vega 6,,,289100,2
TECNO,MEGABOOK T1,,,6.81,,IPS,Intel Core i3,1005G1,,,,,,246500,2
TECNO,MEGABOOK T1,,,6.81,,IPS,Intel Core i3,1005G1,,,,,,268800,2
TECNO,MegaBook T1,1080,1920,15.6,,IPS,Intel Core i5,1035G1,512,16,Intel UHD Graphics,,,311800,2
TECNO,MegaBook T1,1080,1920,15.6,,IPS,Intel Core i3,1005G1,256,12,Intel UHD Graphics,,,284700,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 7,5800H,1024,16,AMD Radeon,,,406000,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 5,5600U,512,8,AMD Radeon,,,297300,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 5,5600U,512,8,AMD Radeon,,,249800,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 5,5600U,512,16,AMD Radeon,,,,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 3,5400U,256,8,AMD Radeon,,,261000,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 9,5900HX,1024,16,AMD Radeon,,,424700,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 3,5400U,256,8,AMD Radeon,,,231100,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 7,5800H,512,16,AMD Radeon,,,368500,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 7,5800H,512,8,AMD Radeon,,,362500,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 5,5600U,512,16,AMD Radeon,,,374900,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 5,5600U,256,8,AMD Radeon,,,260400,2
ROMBICA,MyBook Eclipse,1080,1920,15.6,,IPS,Intel Core i5,10210U,256,8,Intel UHD Graphics,,,,2
ROMBICA,MyBook Eclipse,1080,1920,15.6,,IPS,Intel Core i5,10210U,512,8,Intel UHD Graphics,,,266100,2
ROMBICA,MyBook Eclipse,1080,1920,15.6,,IPS,Intel Core i5,10210U,512,16,Intel UHD Graphics,,,,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 9,5900HX,1024,16,AMD Radeon,,,534400,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 7,5800U,512,16,AMD Radeon,,,377900,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 9,5900HX,256,8,AMD Radeon,,,469100,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 7,5800H,512,16,AMD Radeon,,,,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 7,5800H,256,8,AMD Radeon,,,418400,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 7,5800U,256,8,AMD Radeon,,,331300,2
ROMBICA,MyBook Zenith,1080,1920,15.6,,IPS,AMD Ryzen 7,5800U,512,8,AMD Radeon Graphics,,,297900,2
HONOR,MagicBook X 14,1080,1920,14.0,,IPS,Intel Core i5,12450H,512,16,Intel UHD Graphics,,,456000,2
HONOR,MagicBook X 14,1200,1920,14.0,,IPS,Intel Core i5,12450H,512,8,Intel UHD Graphics,,,381000,2
HONOR,MagicBook X16,1200,1920,16.0,,IPS,Intel Core i5,12450H,512,8,Intel UHD Graphics,,,548900,2
HONOR,MagicBook 14,1080,1920,14.0,,IPS,AMD Ryzen 5,5500U,512,8,AMD Radeon Graphics,,,299800,2
REALME,RMNB1002,1440,2560,14.0,,IPS,Intel Core i5,1135G7,512,8,Iris Xe Graphics,,,319000,2
REALME,CloudPro002,1600,2560,14.0,,IPS,Intel Core i5,11320H,512,16,Iris Xe Graphics,,,531300,2
REALME,Book,1440,2160,14.0,,IPS,Intel Core i5,1135G7,512,8,Intel Iris Xe Graphics,,,319000,2
REALME,Book Prime,1440,2160,14.0,,IPS,Intel Core i5,11320H,512,16,Intel Iris Xe Graphics,,,409000,2
TCL,TCL Book 14 Go B220G,768,1366,14.0,,TN,Qualcomm Snapdragon,SC7180,128,4,Qualcomm Adreno 618,,,200800,2
TCL,Book 14 GO B220G,768,1366,14.0,,TN,Qualcomm Snapdragon,SC7180,128,4,Qualcomm Adreno 618,,,200800,2
IRU,КАЛИБР 15Y,1080,1920,15.6,,IPS,Intel Core i7,8550U,240,8,Intel UHD Graphics 620,,,333600,2
IRU,КАЛИБР 15Y,1080,1920,15.6,,IPS,Intel Core i7,8550U,256,8,Intel UHD Graphics 620,,,458000,2
IRU,КАЛИБР 15Y,1080,1920,15.6,,IPS,Intel Core i7,8550U,480,16,Intel UHD Graphics 620,,,343400,2
IRU,15Y,1200,1920,15.6,,IPS,Intel Core i7,8565U,480,16,Intel UHD Graphics,,,388300,2
IRU,15Y,1200,1920,15.6,,IPS,Intel Core i7,8565U,480,16,Intel UHD Graphics,,,391400,2
IRU,Калибр 15CLG1,1080,1920,15.6,,IPS,Intel Core i3,10110U,1024,8,Intel UHD Graphics,,,250500,2
IRU,Калибр 14TLH,1080,1920,14.1,,IPS,Intel Core i3,1115G4,256,8,Intel Iris Xe Graphics,,,232800,2
IRU,Калибр 14TLH,1080,1920,14.1,,IPS,Intel Core i3,1115G4,1024,8,Intel Iris Xe Graphics,,,256500,2
